year,avg_temp
1905/3/18,8.09
1905/3/19,8.23
1905/3/20,8.38
1905/3/21,7.95
1905/3/22,8.19
1905/3/23,8.18
1905/3/24,8.22
1905/3/25,8.18
1905/3/26,8.17
1905/3/27,8.3
1905/3/28,8.59
1905/3/29,8.59
1905/3/30,8.23
1905/3/31,8.02
1905/4/1,8.13
1905/4/2,8.38
1905/4/3,8.36
1905/4/4,8.57
1905/4/5,8.41
1905/4/6,8.42
1905/4/7,8.51
1905/4/8,8.53
1905/4/9,8.73
1905/4/10,8.52
1905/4/11,8.63
1905/4/12,8.24
1905/4/13,8.63
1905/4/14,8.72
1905/4/15,8.71
1905/4/16,8.34
1905/4/17,8.63
1905/4/18,8.52
1905/4/19,8.55
1905/4/20,8.7
1905/4/21,8.86
1905/4/22,8.76
1905/4/23,8.76
1905/4/24,8.77
1905/4/25,8.73
1905/4/26,8.76
1905/4/27,8.85
1905/4/28,8.58
1905/4/29,8.68
1905/4/30,8.8
1905/5/1,8.75
1905/5/2,8.59
1905/5/3,8.37
1905/5/4,8.63
1905/5/5,8.64
1905/5/6,8.87
1905/5/7,8.56
1905/5/8,8.63
1905/5/9,8.28
1905/5/10,8.73
1905/5/11,8.77
1905/5/12,8.73
1905/5/13,8.58
1905/5/14,8.8
1905/5/15,8.75
1905/5/16,8.86
1905/5/17,8.41
1905/5/18,8.53
1905/5/19,8.6
1905/5/20,8.7
1905/5/21,8.52
1905/5/22,8.6
1905/5/23,8.7
1905/5/24,8.6
1905/5/25,8.5
1905/5/26,8.95
1905/5/27,8.47
1905/5/28,8.74
1905/5/29,8.35
1905/5/30,8.85
1905/5/31,8.69
1905/6/1,8.73
1905/6/2,8.98
1905/6/3,9.17
1905/6/4,8.64
1905/6/5,9.03
1905/6/6,8.69
1905/6/7,8.66
1905/6/8,8.83
1905/6/9,8.99
1905/6/10,9.2
1905/6/11,8.92
1905/6/12,9.23
1905/6/13,9.18
1905/6/14,8.84
1905/6/15,8.87
1905/6/16,9.04
1905/6/17,9.35
1905/6/18,9.04
1905/6/19,9.2
1905/6/20,9.52
1905/6/21,9.29
1905/6/22,9.2
1905/6/23,9.41
1905/6/24,9.57
1905/6/25,9.53
1905/6/26,9.32
1905/6/27,9.7
1905/6/28,9.53
1905/6/29,9.73
1905/6/30,9.43
1905/7/1,9.51
1905/7/2,9.7
1905/7/3,9.52
1905/7/4,9.51
1905/7/5,9.61
1905/7/6,9.57
1905/7/7,9.83
